Geo,SUMLEV,RENTA_V12
34025050024,SL050,31.4
34084545012,SL050,30.8
34081919022,SL050,28.8
34081616018,SL050,26.9
34012121004,SL050,29.4
34012121005,SL050,29.3
34100303015,SL050,37.2
34084545013,SL050,33.2
34094343011,SL050,30.6
34100303016,SL050,32.1
34022222021,SL050,28
34025050025,SL050,29.3
34022222022,SL050,29
34022222023,SL050,26.5
34011818017,SL050,36.7
34081313016,SL050,31.5
34104646035,SL050,27
34024444019,SL050,
34081919023,SL050,34.1
34164848912,SL050,31.4
34012929012,SL050,33
34092525022,SL050,31.5
34012121006,SL050,30.1
34081919024,SL050,27.6
34012929013,SL050,32.3
34091717006,SL050,34.2
34012929014,SL050,32.1
34074242023,SL050,
34025050026,SL050,30.1
34132828010,SL050,34
34090808004,SL050,36.4
34024444020,SL050,
34080202010,SL050,29.9
34092525023,SL050,31.1
34104646036,SL050,30.3
34011818904,SL050,37.5
34100303017,SL050,30.7
34104646037,SL050,30.8
34101212901,SL050,27.9
34022222024,SL050,29
34011818018,SL050,29.6
34010404015,SL050,32
34092525024,SL050,31.1
34070909013,SL050,
34094343012,SL050,34.5
34081616019,SL050,34.5
34100303018,SL050,39.2
34022222025,SL050,27.4
34070909014,SL050,33.2
34153131010,SL050, 
34101212012,SL050,30.5
34162020906,SL050,29
34162020007,SL050,30.9
34081919027,SL050,35.9
34104646017,SL050,32.5
34070505012,SL050,26.6
34073434009,SL050,
34025050027,SL050,26.7
34132828011,SL050,33.8
34091717007,SL050,28.2
34121515002,SL050,31.7
34153131013,SL050, 
34094343013,SL050,37.2
34090808005,SL050,35.4
34070909016,SL050,28.1
34162020008,SL050,28.4
34033333003,SL050,31.1
34123232002,SL050,30.2
34164848003,SL050,28.2
34164848004,SL050,29.4
34094343906,SL050,37.9
34094343014,SL050,33.8
34073434010,SL050,26.8
34063939002,SL050,28.3
34160101002,SL050, 
34073434011,SL050,29.1
34074747009,SL050,30.7
34024444024,SL050,
34074040017,SL050,30.1
34073737029,SL050,28.9
34132828012,SL050,29.9
34081313017,SL050,27.8
34153131014,SL050, 
34074949009,SL050,28.3
34104646038,SL050,31.7
34162020009,SL050,32.1
34024444025,SL050,32.4
34153131015,SL050, 
34040707005,SL050,32.6
34012323005,SL050,33
34025050028,SL050,
34091717008,SL050,30
34092525027,SL050,35.7
34081919031,SL050,
34172626013,SL050,35.1
34022222027,SL050,29.2
34172626014,SL050,28.2
34081919032,SL050,34.6
34070909017,SL050,36.3
34063939003,SL050,25.1
34025050029,SL050,27.2
34104646039,SL050,29.1
34162020010,SL050,29.1
34081919033,SL050,
34081919034,SL050,
34022222028,SL050,25.2
34153131016,SL050, 
34010404016,SL050,32.2
34122727003,SL050,27.8
34104646040,SL050,28.2
34012929015,SL050,32.6
34053535003,SL050,38.2
34072424005,SL050,24.3
34073434012,SL050,28.9
34022222029,SL050,25
34162020011,SL050,32.6
34153131017,SL050, 
34160101049,SL050, 
34074040018,SL050,
34025050030,SL050,30.2
